,case:concept:name,concept:name
0,0,17
1,0,17
2,0,17
3,0,17
4,0,17
5,0,17
6,0,17
7,0,17
8,0,17
9,0,17
10,0,17
11,0,17
12,0,17
13,0,17
14,0,17
15,0,17
16,0,17
17,0,17
18,0,17
19,0,17
20,0,17
21,0,17
22,0,17
23,0,17
24,0,17
25,0,17
26,0,17
27,0,17
28,0,17
29,0,17
30,0,17
31,0,17
32,0,17
33,0,17
34,0,17
35,0,17
36,0,17
37,0,17
38,0,17
39,0,17
40,0,17
41,0,17
42,0,17
43,0,17
44,0,17
45,0,17
46,0,17
47,0,17
48,0,17
49,0,17
50,0,17
51,0,17
52,0,17
53,0,17
54,0,17
55,0,17
56,0,17
57,0,17
58,0,17
59,0,17
60,0,17
61,0,17
62,0,17
63,0,17
64,0,17
65,0,17
66,0,17
67,0,17
68,0,17
69,0,17
70,0,17
71,0,17
72,0,17
73,0,17
74,0,17
75,0,17
76,0,17
77,0,17
78,0,17
79,0,17
80,0,17
81,0,17
82,0,17
83,0,17
84,0,17
85,0,17
86,0,17
87,0,17
88,0,17
89,0,17
90,0,17
91,0,17
92,0,17
93,0,17
94,0,17
95,0,17
96,0,17
97,0,17
98,0,17
99,0,17
100,0,17
101,0,17
102,0,17
103,0,17
104,0,17
105,0,17
106,0,17
107,0,17
108,0,17
109,0,17
110,0,17
111,0,17
112,0,17
113,0,17
114,0,17
115,0,17
116,0,17
117,0,17
118,0,17
119,0,17
120,0,17
121,0,17
122,0,17
123,0,17
124,0,17
125,0,17
126,0,17
127,0,17
128,0,17
129,0,17
130,0,17
131,0,17
132,0,17
133,0,17
134,0,17
135,0,17
136,0,17
137,0,17
138,0,17
139,0,17
140,0,17
141,0,17
142,0,17
143,0,17
144,0,17
145,0,17
146,0,17
147,0,17
148,0,17
149,0,17
150,0,17
151,0,17
152,0,17
153,0,17
154,0,17
155,0,17
156,0,17
157,0,17
158,0,17
159,0,17
160,0,17
161,0,17
162,0,17
163,0,17
164,0,17
165,0,17
166,0,17
167,0,17
168,0,17
169,0,17
170,0,17
171,0,17
172,0,17
173,0,17
174,0,17
175,0,17
176,0,17
177,0,17
178,0,17
179,0,17
180,0,17
181,0,11
182,0,11
183,0,11
184,0,11
185,0,11
186,0,11
187,0,11
188,0,11
189,0,11
190,0,11
191,0,11
192,0,11
193,0,11
194,0,11
195,0,11
196,0,11
197,0,11
198,0,11
199,0,11
200,0,11
201,0,11
202,0,11
203,0,11
204,0,11
205,0,11
206,0,11
207,0,11
208,0,11
209,0,11
210,0,11
211,0,11
212,0,11
213,0,11
214,0,11
215,0,11
216,0,11
217,0,11
218,0,11
219,0,11
220,0,11
221,0,11
222,0,11
223,0,11
224,0,11
225,0,11
226,0,11
227,0,11
228,0,11
229,0,11
230,0,11
231,0,11
232,0,11
233,0,11
234,0,11
235,0,11
236,0,11
237,0,11
238,0,11
239,0,11
240,0,11
241,0,11
242,0,11
243,0,11
244,0,11
245,0,11
246,0,11
247,0,11
248,0,11
249,0,11
250,0,11
251,0,11
252,0,11
253,0,11
254,0,11
255,0,11
256,0,11
257,0,11
258,0,11
259,0,11
260,0,11
261,0,11
262,0,11
263,0,11
264,0,11
265,0,11
266,0,11
267,0,11
268,0,11
269,0,11
270,0,11
271,0,11
272,0,11
273,0,11
274,0,11
275,0,11
276,0,11
277,0,11
278,0,11
279,0,11
280,0,11
281,0,11
282,0,11
283,0,11
284,0,11
285,0,11
286,0,11
287,0,11
288,0,11
289,0,11
290,0,11
291,0,11
292,0,11
293,0,11
294,0,11
295,0,11
296,0,11
297,0,11
298,0,11
299,0,11
300,0,11
301,0,11
302,0,11
303,0,11
304,0,11
305,0,11
306,0,11
307,0,11
308,0,11
309,0,11
310,0,11
311,0,11
312,0,11
313,0,11
314,0,11
315,0,11
316,0,11
317,0,11
318,0,11
319,0,11
320,0,11
321,0,11
322,0,11
323,0,11
324,0,11
325,0,11
326,0,11
327,0,11
328,0,11
329,0,11
330,0,11
331,0,11
332,0,11
333,0,11
334,0,11
335,0,11
336,0,11
337,0,11
338,0,11
339,0,11
340,0,11
341,0,11
342,0,11
343,0,11
344,0,11
345,0,11
346,0,11
347,0,11
348,0,11
349,0,11
350,0,11
351,0,11
352,0,11
353,0,11
354,0,11
355,0,11
356,0,11
357,0,11
358,0,11
359,0,11
360,0,11
361,0,11
362,0,11
363,0,11
364,0,11
